,Title,Step,Expected Result,Actual Result,Attachements,Dev Status
20,"Profile - URL is not copied when user click on ""copy profile URL","Login to the app > Click on profile icon > Click the 3 dots at the top and click on ""Copy profile url"" ",A toast can be displyed saying the URL is copied and the URL should be in the clipboard,URL is not copied,https://drive.google.com/file/d/1pcWReAzxwlnELeOaiFETX8n2Y9uQfXRX/view?usp=drive_link,Done
21,"Profile - Native share option is not opened when user click on ""Share profile""",Login to the app > Click on profile > Click on the 3 dots > Click on sharre profile ,Native android share should be open where user can share via different app,Nothing happens after clicking the button,https://drive.google.com/file/d/1MXl0lcsV_FLKkkhaUjGgI-5QbOrJM5Nd/view?usp=drive_link,Done
22,Top up - Dummy account number is displayed ,"Open the app and login with valid credentials > Click on Top up > Input amount, name and click on proceed >",Real account should be displayes,,https://drive.google.com/file/d/1kPAgHA4ijUNJgUI9GEaVe4PIlgFoTEGY/view?usp=drive_link,"It also says ""Deposit siuccesful"" so i figured the payment gateway hasnt been implemented"
23,Market- There is discrepancy in price displayed between the price in market and the price in the product details page,Login to the app > Click on market >Observe the price displayed for an item > Clicn on the item and observe the price again,Price should be the same as long as its the same product,Price flunctuates by multiple zeroes,https://drive.google.com/file/d/1BQjPXp8oOxZsWx5uCtB0gT_VK6Q7FdAk/view?usp=drive_link,Done
24,Market - Listing isnt available when you filter by states ,Login to the app and clic on market > Click on the dropdown and click on a state,Result should be displayed for different states except we do not have products in that state ,No result is displayed ,https://drive.google.com/file/d/1Fc0fB9MZSjgZDnyy6BwBd57VZ0C8SmAY/view?usp=drive_link,Done
25,Comments - Clicking on the back button closes the app when the comment page is opened,Login to the app > Click on the comment button under a post > Click on the back button on device,The user should be taken back to the page post,The app close ,https://drive.google.com/file/d/1q8_CzGscszivud61716QmMgbNk0ZlexJ/view?usp=drive_link,Done
26,Comment - User is unable to delete a comment ,Login to the app and make a comment under a post > Hold down the comment to see if user can delete comment,USer should be able to edit of delete comment ,Nothing happens when user holds the comment down,https://drive.google.com/file/d/1_WhXLbMk667zT10Ya7PwAYoWv1ECNYLI/view?usp=drive_link,Done
27,"Live - Streamers profile is displsyed as ""Live now"" even though the stream is not live ",,,,https://drive.google.com/file/d/1EYKmr8FAi4iv-yD_NWjCyIwvhRoZrZO4/view?usp=drive_link,Done
29,Socials - Play/pause button is always displayed while user is playing the clip,"Login to the app, scroll down to find a video post> Play the video and observe",The button should automatically be reemoved after few seconds of playing so that the user can fully see the clicp,Button is always displayed,https://drive.google.com/file/d/1Awh3bI8IL9qVSkBRSGG8MhnaheI7VTQo/view?usp=drive_link,Done
30,Socials - New post - Validation error mesage displayed to the user is not clear enough,Login to the app > Click on the plus button at the lower right corner > Create post > Input text and click on the share button,Validation error message should be clear to a basic user,Validation error message displayed doesnt tell user what is wrong,https://drive.google.com/file/d/1ZJaicIo1vg512RrNnANec4HJmlO5VNH1/view?usp=drive_link,Done
32,Socials - New post -Text box is still accessible after the user has click on share button,create post > Add text and media > Click on share button,User should not be able to type once the share button has been clicked,Textbox is accessible,https://drive.google.com/file/d/1i9LVnacdQh8Sdb6Cgyw1DQfu4yRxafHi/view?usp=drive_link,Done
33,Social - New post - Unable to make new post,Create post > Add text and media > Click on share button,The post should succesfully be uploaded,An error message is displayed to the user,https://drive.google.com/file/d/1pCIECIrW71UmHA0uLtnxF89CN9DyeS1E/view?usp=drive_link,Done
34,Add to story - Music genre is not fully displayed ,Login to the app and click on the story icon > Select an image and proceed > Click on the music icon > Observe the genres listed,All text should be fully visible on the screen ,Lower part of the text is cut off,https://drive.google.com/file/d/1KDDqlKCU28FJq_UT82vKQEuXLQX2qtXA/view?usp=drive_link,Done
35,Live - User is able to go live despite not meeting the requorement needed to go live,Login to the app and click on the live button > Click on the camera sign again and click on oroceed,User should not be able to proceed as the require is not ment,User is able to go live,https://drive.google.com/file/d/1BHgVo-vjX6sa7qjr99EMUG5WPdPIdmCy/view?usp=drive_link,Done
36,"Message - User profile is always displayed as ""Online""",,Status of the user should change ,User status is always online,https://drive.google.com/file/d/1WNTfhcLKGV2eja0UEb5U2SOoKWcEcuJU/view?usp=drive_link,Done
37,Message - Number of post is not reflected in the message tab,Login the app > Navigate to message > Click on a user youve been chatting with > Observe the number of post displayed at the top  > Click on view profile and observe the nuber of post again,The number of posts should be the same,Number of post is diplayed as zero even though the user has one post,https://drive.google.com/file/d/1n64BlwjF60ziVk-6BKMKe5QHG85s-jBn/view?usp=drive_link,                         Done
38,Create post - User is unable to select multiple files at once,create post > Select media > try to select multiple media at once,User should be able to select more thann one image to add to post,User can only select one file at a time,,Done
,More - No cchange is displayed after user upgrades to business account,"Login to the app and click on more > Click ""Upgrade to business account"" > Fill up the details and click on save",User should be told what the next step is or the user profile should change to the new business details,Details is saved and no changes occurs. User can also register business multiple times,https://drive.google.com/file/d/1ubCbAt272BHzAKcvt2s2CvsKQqWKdXSe/view?usp=drive_link,Done
,"Live streaming - Chat box partly overlaps the ""Mute Audio"" button",Open tehe testing app and go on a live stream > Send a chat to the stream and onserve the text,,Text partly overlaps,https://drive.google.com/file/d/1RsK9mFO2RMTnNr_gMkm_57KBqexaft4z/view?usp=drive_link,Done
,Story - User is unable to add music to story,,,"""Failed to play music"" is displayed",https://drive.google.com/file/d/191H5J9wHd1cMpvZKFLwmOV4wdDcV2mrn/view?usp=drive_link,Done
,Story - Add music - Search box shitfs to the top once the user click on it,,,,,
,Story - Story duration line is not displayed,Login to the app and add a story to status > CLick on the story to view,The straight line that reads when is story is being watched should be present,The line is only displayed for the first few seconds,https://drive.google.com/file/d/1YuZUuahUDupC9njFR2nBYDtmZ9iS50SI/view?usp=drive_link,
,Market - Listing disappears when you click on the profile icon then back to the listings page,Navigate to market and observe the displayed items > Click on the profile icon at the top > Click on the back arrow and observe ,Listed items should still be present ,"""No listings right now"" is displayed",https://drive.google.com/file/d/14TNeHYzU_x8JI8wXE56FHGOBgkkWxs-_/view?usp=drive_link,
,"Market - ""Delete post"" is visible for a user that did not list any post",Navigate to market > click the profile button > Click on the 3 dots > Observe the displayed button,This button should not be displayed or should be inactive since the user doesnt have any post listed,Delete post button is visible ,https://drive.google.com/file/d/1erhbzgya5dPnoJmhAl2g2mHeOzGoHo-y/view?usp=drive_link,
,Story - Previously selected image is picked by default when user tries to post a new story ,Upload a picture to story succesfully > click on add story and observe the media displayed,"No image is selected, user starts to select media afresh",The last selectem media is chosen already,https://drive.google.com/file/d/1e0EHCfw6Eym_DC_UAnuXqspq80kHHtkc/view?usp=drive_link,
,,,,,,
,,,,,,
,UI RELATED ISSUES,,,,,
,We have 3 screens present in onboarding instead of 4 present on figma,,,,,
,First and 3rd image on onboarding page is the same,,,,,
,Followers live stream and discover is not available on the app compared to whats on figma,,,,,
,"""Live streaming duration left this month"" is not available on the app but its available on figma",,,,,
,Live streaming summary is not displayed on the app as displayed on figma,,,,,
,Can all user list an item in the marketplace? I cant find where to list my own item.,,,,,
,Gifts section is not present on live stream but its present on figma. Gift section is only available when the user has ended the live stream then click on it back in the list of live streams,,,,,
,Profile - Listing is not available on app but its available on figma,,,,,
,Socials - Call and video - Time is not available at the begining of the chat but its available on figma,,,,,
,Video call confirm page is not available on app,,,,,
,"Socials - Boost post - ""Get amazing benefit from posting"" page is not present on the app",,,,,
,Marketplace - New listing is not present on the app bu present on figma,,,,,
,More - Notifications - This page is not present on the app,,,,,
